TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR,POSTSEASON,SEED
LIU Brooklyn,NEC,33,27-6,106.4,103.1,0.5906,51.9,48.3,20.1,19.8,37.4,32.3,49.7,26.2,50.9,50.1,36.1,29.7,74.9,-1.2,2011,15,R64
Northern Colorado,BSky,30,19-11,104.5,101.3,0.5883,49.8,48.8,21.6,20.1,35.3,29,43.4,43.2,44.9,45.9,38.3,35.2,67.5,-4.6,2011,15,R64
UC Santa Barbara,BW,30,16-14,101.4,99.4,0.5579,51.6,47.3,21.9,20,28.2,31.9,37.3,42.3,49.6,43.1,36.6,36.6,65.7,-6.8,2011,15,R64
UC Santa Barbara,BW,29,19-10,99.4,96.1,0.5969,50.7,48,22.6,22,27.6,32.5,45.4,39.4,47.5,48.9,37.6,31,67.4,-4.1,2010,15,R64
Morgan St.,MEAC,37,27-10,103,103.2,0.4937,47.5,46.5,19,20.2,39.7,34.7,43.9,43.2,46.5,45.7,33.2,32.5,70,-3.9,2010,15,R64
North Texas,SB,31,22-9,101.4,102.4,0.4721,50.4,47.8,21.2,18.2,32.7,30.5,52.9,32.7,50.9,47.3,32.8,32.9,68.5,-3.9,2010,15,R64
Robert Morris,NEC,35,23-12,99,100.3,0.4628,48.9,46.9,21.9,23.1,34.6,32.5,46,47.8,46.7,46,36.1,32.1,67.2,-6.5,2010,15,R64
Cal St. Northridge,BW,30,16-14,101.5,96,0.6539,51.6,48.5,24.4,23.7,36.6,32.2,34.4,42.5,50.3,48,36.1,32.8,72.9,-6.7,2009,15,R64
Robert Morris,NEC,35,24-11,100.9,99.1,0.5519,53.4,48.8,22.4,23.6,32.4,32.5,36.7,39.6,50.9,45.7,39.4,36.6,67.1,-5.1,2009,15,R64
Morgan St.,MEAC,34,22-12,97.9,98,0.4978,46.4,44.7,19.5,22.8,38.4,32.9,33.1,41.7,44.9,44.6,33.7,30.2,66.5,-5.8,2009,15,R64
Binghamton,AE,31,22-9,100.6,101.5,0.4732,49.4,46.6,19.7,21.6,31.7,35.5,40.8,41.6,49,45.4,33.5,32.9,68.4,-4.5,2009,15,R64
UMBC,AE,32,24-9,110.2,107.7,0.5666,51.9,50.8,13.6,17.7,31.8,33.6,33.5,28.4,49,49,38.4,36.1,66,-3,2008,15,R64
Belmont,ASun,33,25-9,105.7,103.9,0.5487,53.2,51.9,20.4,22.4,33.5,30.5,33.8,35.6,52.1,51.9,36.3,34.6,71.2,-3.5,2008,15,R64
American,Pat,33,21-12,105.3,104.5,0.5208,52.2,47.7,22.5,19.7,32.9,30,41.3,38.9,46.2,45,40.8,35,62.7,-5.8,2008,15,R64
Austin Peay,OVC,35,24-11,102.2,102.8,0.4825,51.7,54.2,18.3,24.3,30.2,32.7,44.3,32.7,48.4,53,38.2,37.4,67.2,-5.3,2008,15,R64
UNC Asheville,BSth,31,21-10,107.4,103.6,0.6034,52.6,51.3,19.2,22.2,32.9,35.2,48.1,36.3,52.8,50.7,35,34.9,69.3,-3.3,2012,16,R64
Vermont,AE,36,24-12,101.9,98.7,0.591,49.3,45.5,19.4,19.7,34.3,30.6,37.3,33.3,48.6,44.6,34,31.7,63.3,-5.5,2012,16,R64
LIU Brooklyn,NEC,34,25-9,107.8,106.7,0.5295,53.2,49.4,21.4,18.4,34.1,34.3,49.7,22,52.1,49.5,37.1,32.8,74.2,-2.6,2012,16,R64
Western Kentucky,SB,35,16-19,96.4,98.6,0.436,44.4,47.4,22.1,21.1,34.1,32.4,40.2,38.9,43.7,46.9,30.6,32.5,68.8,-10.3,2012,16,R64
